Wojewodztwo,Rok,Kategoria,Cena_Mieszkania,Zarobki,Liczba_Pensji
Dolnośląskie,2023,Do 40 m2,234918.0,7850.3,29.9
Dolnośląskie,2023,40.1 - 60 m2,355654.0,7850.3,45.3
Dolnośląskie,2024,Do 40 m2,274734.0,8867.46,31.0
Dolnośląskie,2024,40.1 - 60 m2,397128.0,8867.46,44.8
Kujawsko-Pomorskie,2023,Do 40 m2,189608.0,6721.48,28.2
Kujawsko-Pomorskie,2023,40.1 - 60 m2,284198.0,6721.48,42.3
Kujawsko-Pomorskie,2024,Do 40 m2,221871.0,7710.78,28.8
Kujawsko-Pomorskie,2024,40.1 - 60 m2,304918.0,7710.78,39.5
Lubelskie,2023,Do 40 m2,250247.0,6774.52,36.9
Lubelskie,2023,40.1 - 60 m2,354288.0,6774.52,52.3
Lubelskie,2024,Do 40 m2,276502.0,7771.05,35.6
Lubelskie,2024,40.1 - 60 m2,381184.0,7771.05,49.1
Lubuskie,2023,Do 40 m2,180547.0,6882.46,26.2
Lubuskie,2023,40.1 - 60 m2,270569.0,6882.46,39.3
Lubuskie,2024,Do 40 m2,204098.0,7887.19,25.9
Lubuskie,2024,40.1 - 60 m2,294455.0,7887.19,37.3
Łódzkie,2023,Do 40 m2,208980.0,7052.93,29.6
Łódzkie,2023,40.1 - 60 m2,306626.0,7052.93,43.5
Łódzkie,2024,Do 40 m2,236392.0,8096.32,29.2
Łódzkie,2024,40.1 - 60 m2,345057.0,8096.32,42.6
Małopolskie,2023,Do 40 m2,378079.0,7736.56,48.9
Małopolskie,2023,40.1 - 60 m2,511595.0,7736.56,66.1
Małopolskie,2024,Do 40 m2,426125.0,8818.71,48.3
Małopolskie,2024,40.1 - 60 m2,566826.0,8818.71,64.3
Mazowieckie,2023,Do 40 m2,410490.0,8928.6,46.0
Mazowieckie,2023,40.1 - 60 m2,563867.0,8928.6,63.2
Mazowieckie,2024,Do 40 m2,468278.0,10018.71,46.7
Mazowieckie,2024,40.1 - 60 m2,626413.0,10018.71,62.5
Opolskie,2023,Do 40 m2,165592.0,6975.81,23.7
Opolskie,2023,40.1 - 60 m2,245076.0,6975.81,35.1
Opolskie,2024,Do 40 m2,201611.0,7958.35,25.3
Opolskie,2024,40.1 - 60 m2,275324.0,7958.35,34.6
Podkarpackie,2023,Do 40 m2,233422.0,6436.15,36.3
Podkarpackie,2023,40.1 - 60 m2,317207.0,6436.15,49.3
Podkarpackie,2024,Do 40 m2,263825.0,7514.69,35.1
Podkarpackie,2024,40.1 - 60 m2,359141.0,7514.69,47.8
Podlaskie,2023,Do 40 m2,250834.0,6805.04,36.9
Podlaskie,2023,40.1 - 60 m2,356944.0,6805.04,52.5
Podlaskie,2024,Do 40 m2,288811.0,7850.16,36.8
Podlaskie,2024,40.1 - 60 m2,398262.0,7850.16,50.7
Pomorskie,2023,Do 40 m2,312737.0,7550.99,41.4
Pomorskie,2023,40.1 - 60 m2,425928.0,7550.99,56.4
Pomorskie,2024,Do 40 m2,358884.0,8620.28,41.6
Pomorskie,2024,40.1 - 60 m2,475663.0,8620.28,55.2
Śląskie,2023,Do 40 m2,176120.0,7611.38,23.1
Śląskie,2023,40.1 - 60 m2,259286.0,7611.38,34.1
Śląskie,2024,Do 40 m2,197051.0,8537.54,23.1
Śląskie,2024,40.1 - 60 m2,288363.0,8537.54,33.8
Świętokrzyskie,2023,Do 40 m2,204011.0,6585.16,31.0
Świętokrzyskie,2023,40.1 - 60 m2,292733.0,6585.16,44.5
Świętokrzyskie,2024,Do 40 m2,222210.0,7664.18,29.0
Świętokrzyskie,2024,40.1 - 60 m2,309098.0,7664.18,40.3
Warmińsko-Mazurskie,2023,Do 40 m2,188283.0,6447.09,29.2
Warmińsko-Mazurskie,2023,40.1 - 60 m2,277836.0,6447.09,43.1
Warmińsko-Mazurskie,2024,Do 40 m2,209029.0,7529.41,27.8
Warmińsko-Mazurskie,2024,40.1 - 60 m2,298891.0,7529.41,39.7
Wielkopolskie,2023,Do 40 m2,240732.0,6772.06,35.5
Wielkopolskie,2023,40.1 - 60 m2,343205.0,6772.06,50.7
Wielkopolskie,2024,Do 40 m2,271207.0,7759.22,35.0
Wielkopolskie,2024,40.1 - 60 m2,369068.0,7759.22,47.6
Zachodniopomorskie,2023,Do 40 m2,239614.0,7007.4,34.2
Zachodniopomorskie,2023,40.1 - 60 m2,291913.0,7007.4,41.7
Zachodniopomorskie,2024,Do 40 m2,264343.0,8027.37,32.9
Zachodniopomorskie,2024,40.1 - 60 m2,335391.0,8027.37,41.8
