"Kod";"Nazwa";"rynek wtórny;do 40 m2;2023;[zł]";"rynek wtórny;do 40 m2;2024;[zł]";"rynek wtórny;od 40,1 do 60 m2;2023;[zł]";"rynek wtórny;od 40,1 do 60 m2;2024;[zł]";
0200000;"DOLNOŚLĄSKIE";234918;274734;355654;397128;
0400000;"KUJAWSKO-POMORSKIE";189608;221871;284198;304918;
0600000;"LUBELSKIE";250247;276502;354288;381184;
0800000;"LUBUSKIE";180547;204098;270569;294455;
1000000;"ŁÓDZKIE";208980;236392;306626;345057;
1200000;"MAŁOPOLSKIE";378079;426125;511595;566826;
1400000;"MAZOWIECKIE";410490;468278;563867;626413;
1600000;"OPOLSKIE";165592;201611;245076;275324;
1800000;"PODKARPACKIE";233422;263825;317207;359141;
2000000;"PODLASKIE";250834;288811;356944;398262;
2200000;"POMORSKIE";312737;358884;425928;475663;
2400000;"ŚLĄSKIE";176120;197051;259286;288363;
2600000;"ŚWIĘTOKRZYSKIE";204011;222210;292733;309098;
2800000;"WARMIŃSKO-MAZURSKIE";188283;209029;277836;298891;
3000000;"WIELKOPOLSKIE";240732;271207;343205;369068;
3200000;"ZACHODNIOPOMORSKIE";239614;264343;291913;335391;
