"Kod";"Nazwa";"ogółem;2023;[zł]";"ogółem;2024;[zł]";"ogółem;2025;[zł]";
0200000;"DOLNOŚLĄSKIE";7850,30;8867,46;;
0400000;"KUJAWSKO-POMORSKIE";6721,48;7710,78;;
0600000;"LUBELSKIE";6774,52;7771,05;;
0800000;"LUBUSKIE";6882,46;7887,19;;
1000000;"ŁÓDZKIE";7052,93;8096,32;;
1200000;"MAŁOPOLSKIE";7736,56;8818,71;;
1400000;"MAZOWIECKIE";8928,60;10018,71;;
1600000;"OPOLSKIE";6975,81;7958,35;;
1800000;"PODKARPACKIE";6436,15;7514,69;;
2000000;"PODLASKIE";6805,04;7850,16;;
2200000;"POMORSKIE";7550,99;8620,28;;
2400000;"ŚLĄSKIE";7611,38;8537,54;;
2600000;"ŚWIĘTOKRZYSKIE";6585,16;7664,18;;
2800000;"WARMIŃSKO-MAZURSKIE";6447,09;7529,41;;
3000000;"WIELKOPOLSKIE";6772,06;7759,22;;
3200000;"ZACHODNIOPOMORSKIE";7007,40;8027,37;;
